pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment
CH,9/27/2019,80.9,-3.2975,5.2012,Jose Berrios,621433,621244,null,foul,,,,,8,null,R,L,R,KC,MIN,S,null,null,0,0,2019,-1.1245,0.3625,0.2106,1.6762,null,670032,650619,2,4,Bot,null,null,,,553902,,190928_014439,9.9024,-117.4942,-1.9639,-12.0586,19.0248,-28.677,3.37,1.62,356,93.7,36.3,81.029,1504,6.161,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.3387,null,null,null,null,null,null,null,40,1,Changeup,1,6,1,6,6,1,1,6,Standard,Standard
FF,9/27/2019,92.9,-3.2501,5.405,Jose Berrios,650619,621244,walk,ball,,,,,11,Meibrys Viloria walks.  ,R,L,R,KC,MIN,B,null,null,3,0,2019,-0.9802,0.9928,-1.2807,3.5993,null,670032,null,2,4,Bot,null,null,,,553902,,190928_014401,7.1602,-135.3041,-1.0832,-13.4294,25.326,-19.9185,3.1503,1.1983,null,null,null,93.325,2100,6.176,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.3239,null,null,0.7,1,0,0,null,39,4,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
FT,9/27/2019,94.3,-3.0684,5.4382,Jose Berrios,650619,621244,null,ball,,,,,14,null,R,L,R,KC,MIN,B,null,null,2,0,2019,-1.1704,0.5955,1.3286,1.7287,null,670032,null,2,4,Bot,null,null,,,553902,,190928_014338,13.8744,-136.6699,-5.2626,-17.2012,24.5178,-23.9313,3.2367,1.4563,null,null,null,94.223,2067,6.054,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.4452,null,null,null,null,null,null,null,39,3,2-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
FT,9/27/2019,93.7,-3.1631,5.3439,Jose Berrios,650619,621244,null,ball,,,,,14,null,R,L,R,KC,MIN,B,null,null,1,0,2019,-1.359,0.5031,0.3024,1.2556,null,670032,null,2,4,Bot,null,null,,,553902,,190928_014317,11.8373,-135.9457,-5.9284,-19.1067,25.6792,-25.0044,3.2466,1.4885,null,null,null,93.622,2040,6.098,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.4012,null,null,null,null,null,null,null,39,2,2-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
FF,9/27/2019,93.2,-3.1351,5.4627,Jose Berrios,650619,621244,null,ball,,,,,12,null,R,L,R,KC,MIN,B,null,null,0,0,2019,-0.803,1.1368,0.5883,3.4244,null,670032,null,2,4,Bot,null,null,,,553902,,190928_014259,11.3766,-135.4214,-2.0374,-12.2158,25.9445,-17.7549,3.1503,1.424,null,null,null,93.964,2125,6.545,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,53.9544,null,null,null,null,null,null,null,39,1,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
CH,9/27/2019,80.6,-3.1608,5.1617,Jose Berrios,670032,621244,double,hit_into_play_no_out,,,,,4,Nicky Lopez hits a ground-rule double (22) on a fly ball to left-center field.  ,R,L,R,KC,MIN,X,null,fly_ball,1,1,2019,-0.7682,0.5885,-0.3541,2.3137,null,null,null,2,4,Bot,68.92,52.38,,,553902,,190928_014217,7.6839,-117.1734,-0.8286,-8.4186,19.8449,-26.7754,3.07,1.36,370,94.8,28.8,80.882,1453,6.303,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.1962,0.278,0.411,1.25,1,1,1,5,38,3,Changeup,1,6,1,6,6,1,1,6,Standard,Standard
FF,9/27/2019,94.2,-3.1116,5.5738,Jose Berrios,670032,621244,null,ball,,,,,12,null,R,L,R,KC,MIN,B,null,null,0,1,2019,-0.6817,1.2368,0.3099,4.0486,null,null,null,2,4,Bot,null,null,,,553902,,190928_014156,10.317,-136.8077,-0.9775,-10.6564,28.413,-16.7409,3.0667,1.1983,null,null,null,93.873,2196,6.074,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.4257,null,null,null,null,null,null,null,38,2,4-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
FT,9/27/2019,92.2,-3.1587,5.2935,Jose Berrios,670032,621244,null,foul,,,,,6,null,R,L,R,KC,MIN,S,null,null,0,0,2019,-1.4447,0.5573,0.308,1.9812,null,null,null,2,4,Bot,null,null,,,553902,,190928_014143,11.9884,-133.803,-3.84,-19.9132,25.8536,-24.8279,3.07,1.36,null,null,null,92.753,2053,6.533,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,53.9663,null,null,null,null,null,null,null,38,1,2-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Standard
FT,9/27/2019,93.1,-3.2076,5.372,Jose Berrios,656811,621244,field_out,hit_into_play,,,,,7,Ryan O'Hearn lines out to center fielder Ryan LaMarre.  ,R,L,R,KC,MIN,X,8,line_drive,3,1,2019,-1.6032,0.6078,-0.6578,1.8556,null,null,null,1,4,Bot,119.15,43.14,,,553902,,190928_014115,10.0892,-135.2985,-4.6191,-21.9119,27.5732,-23.9011,3.07,1.36,368,95.1,22,93.512,2159,6.456,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.043,0.248,0.296,0,1,0,0,3,37,5,2-Seam Fastball,1,6,1,6,6,1,1,6,Strategic,Strategic
FT,9/27/2019,94.4,-3.0632,5.3356,Jose Berrios,656811,621244,null,ball,,,,,9,null,R,L,R,KC,MIN,B,null,null,2,1,2019,-1.5298,0.5107,0.403,1.63,null,null,null,1,4,Bot,null,null,,,553902,,190928_014050,12.4344,-136.9316,-5.0948,-21.9655,27.9701,-24.8411,3.3934,1.7107,null,null,null,94.69,2154,6.465,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.0346,null,null,null,null,null,null,null,37,4,2-Seam Fastball,1,6,1,6,6,1,1,6,Standard,Strategic
CH,9/27/2019,80.7,-3.2632,5.1573,Jose Berrios,656811,621244,null,ball,,,,,14,null,R,L,R,KC,MIN,B,null,null,1,1,2019,-1.0354,0.074,0.7646,1.1868,null,null,null,1,4,Bot,null,null,,,553902,,190928_014034,10.8696,-117.0351,-2.3278,-11.3861,19.7638,-31.2952,3.3967,1.5852,null,null,null,80.699,1651,6.24,565780,621244,553902,543068,570731,593934,591720,592696,534606,595909,54.2595,null,null,null,null,null,null,null,37,3,Changeup,1,6,1,6,6,1,1,6,Standard,Strategic
